GeneID,GeneName,p-value,log2FC
ENSG00000254788,CKLF-CMTM1,0.409719383,1
ENSG00000254793,FDPSP4,1,0
ENSG00000254795,OR5AP1P,1,0
ENSG00000254796,AC134684.1,1,0
ENSG00000254805,SNRPCP14,1,0.2
ENSG00000254806,SYS1-DBNDD2,1,-0.3
ENSG00000254807,OR10AK1P,1,0
ENSG00000254812,AC067930.2,0.713487451,0.6
ENSG00000254813,AC123777.1,1,0
ENSG00000254815,LMNTD2-AS1,1,1.6
ENSG00000254823,LINC02727,1,0
ENSG00000254825,OR9G2P,1,0
ENSG00000254827,SLC22A18AS,0.126360648,1.9
ENSG00000254831,KRT18P58,1,0
ENSG00000254832,OR4A40P,1,0
ENSG00000254834,OR5M10,1,0
ENSG00000254837,AP001372.2,0.545730843,0.3
ENSG00000254838,GVINP1,0.016788021,2.3
ENSG00000254839,AF131215.3,1,0
ENSG00000254840,AC024405.2,1,0
ENSG00000254841,OR4V1P,1,0
ENSG00000254848,OR5BN1P,1,0
ENSG00000254854,AP003390.1,1,1.2
ENSG00000254856,NDUFA3P2,1,0
ENSG00000254857,MRGPRX12P,1,0
ENSG00000254858,MPV17L2,0.931842987,-0.1
ENSG00000254860,TMEM9B-AS1,0.17851554,1.2
ENSG00000254862,LGR4-AS1,1,0.6
ENSG00000254863,LINC02744,1,0.4
ENSG00000254866,DEFB109D,1,0
ENSG00000254866,DEFB109D,1,0
ENSG00000254866,DEFB109D,1,0
ENSG00000254867,AP006287.1,1,-0.1
ENSG00000254870,ATP6V1G2-DDX39B,1,0
ENSG00000254872,LINC02688,1,0.7
ENSG00000254876,SUGT1P4-STRA6LP,0.780056468,0.3
ENSG00000254877,AP001636.2,1,0.4
ENSG00000254880,PKNOX2-AS1,1,0
ENSG00000254889,AC084121.2,1,0
ENSG00000254891,OR4A9P,1,0
ENSG00000254895,MTCO3P15,1,0
ENSG00000254896,OPCML-IT1,1,0.2
ENSG00000254901,BORCS8,0.366361911,0.4
ENSG00000254903,OR8L1P,1,0
ENSG00000254911,SCARNA9,1,0.4
ENSG00000254911,SCARNA9,1,0.4
ENSG00000254923,AC130366.1,1,0
ENSG00000254925,OR4C9P,1,0
ENSG00000254926,AP000445.2,1,0
ENSG00000254930,LINC02545,1,0
ENSG00000254931,MTATP6P15,1,-0.5
ENSG00000254932,AP001007.1,1,0
ENSG00000254934,LINC00678,1,0
ENSG00000254937,AP000916.1,1,0
ENSG00000254939,AP003038.1,1,0
ENSG00000254940,OR4A19P,1,0.2
ENSG00000254946,LINC02751,1,0.2
ENSG00000254947,OR8K4P,1,0
ENSG00000254948,OR7E158P,1,0
ENSG00000254951,AC044810.2,1,0.6
ENSG00000254954,SLC2A13P1,1,0
ENSG00000254959,INMT-MINDY4,1,0
ENSG00000254960,KIRREL3-AS2,1,0
ENSG00000254961,TUBB4BP4,1,0
ENSG00000254965,C1DP5,1,0
ENSG00000254968,LINC02763,1,0.4
ENSG00000254986,DPP3,0.564118877,0.2
ENSG00000254993,TRIM77BP,1,0
ENSG00000254995,STX16-NPEPL1,0.901278277,-0.1
ENSG00000254996,ANKHD1-EIF4EBP3,0.771107315,0.2
ENSG00000254997,KRTAP5-9,1,1
ENSG00000254999,BRK1,0.89278686,0.1
ENSG00000255002,LINC02324,1,0.2
ENSG00000255004,AL133330.2,1,0.2
ENSG00000255006,ELOCP22,1,0
ENSG00000255008,LINC02739,1,0.9
ENSG00000255009,UBTFL1,1,0
ENSG00000255012,OR5M1,1,0
ENSG00000255019,OR5D15P,1,0
ENSG00000255020,AF131216.3,0.092540609,2.3
ENSG00000255025,AF228730.3,1,0
ENSG00000255030,OR8B5P,1,0
ENSG00000255036,STRA6LP,1,-0.3
ENSG00000255037,AC136443.2,1,0
ENSG00000255043,NAV2-AS5,1,0
ENSG00000255047,HNRNPRP2,1,0
ENSG00000255048,OR8X1P,1,0
ENSG00000255053,OR4A44P,1,0
ENSG00000255055,MTND1P35,1,0
ENSG00000255058,PDCL2P2,1,0.4
ENSG00000255062,AP001318.2,0.03681379,2
ENSG00000255070,OSBPL9P3,1,1
ENSG00000255071,SAA2-SAA4,1,0
ENSG00000255072,PIGY,1,0
ENSG00000255077,OR4X7P,1,0
ENSG00000255078,OR4A6P,1,0
ENSG00000255082,GRM5-AS1,1,0
ENSG00000255083,OR5AK1P,1,0
ENSG00000255084,AP003110.1,1,0.1
ENSG00000255086,AC024341.1,1,0
ENSG00000255087,AP001993.1,1,1.5
ENSG00000255095,OR1D4,1,0
ENSG00000255096,OR5B10P,1,0
ENSG00000255099,AC023245.2,1,0
ENSG00000255100,AP003119.2,1,0.4
ENSG00000255106,AC010768.3,1,0
ENSG00000255107,AC079089.2,1,-0.3
ENSG00000255112,CHMP1B,0.081056535,0.7
ENSG00000255114,AP003392.3,1,0
ENSG00000255116,SLC5A4P1,1,0
ENSG00000255117,LINC02546,1,0
ENSG00000255120,OVOL1-AS1,1,0.6
ENSG00000255127,AP003171.2,1,0
ENSG00000255131,OR9L1P,1,0
ENSG00000255133,LINC02721,1,0.9
ENSG00000255134,OR8K2P,1,0.4
ENSG00000255135,AP002360.2,0.175370178,0.6
ENSG00000255140,OR5BN2P,1,0
ENSG00000255150,EID3,9.95e-08,3.7
ENSG00000255151,GLYATL1B,1,0.2
ENSG00000255152,MSH5-SAPCD1,1,0.2
ENSG00000255153,TOLLIP-AS1,0.101124641,1.5
ENSG00000255154,HTD2,1,0.3
ENSG00000255156,RNY1P9,1,0
ENSG00000255167,AC090857.2,1,0.4
ENSG00000255169,LINC02722,1,0
ENSG00000255171,LINC01499,1,0
ENSG00000255172,OR5AM1P,1,0
ENSG00000255175,LINC02759,1,0
ENSG00000255177,MUC5B-AS1,1,0
ENSG00000255178,LINC02720,1,0
ENSG00000255181,CCDC166,1,0
ENSG00000255183,LINC02711,1,0
ENSG00000255185,PDXDC2P,0.908088521,-0.2
ENSG00000255189,GLYATL1P1,1,0.4
ENSG00000255192,NANOGP8,1,0.2
ENSG00000255196,OR4A17P,1,0
ENSG00000255197,AC090559.1,0.524720186,0.6
ENSG00000255199,GTF2IP11,1,0
ENSG00000255203,OR7E2P,1,0.2
ENSG00000255205,MED28P5,1,0
ENSG00000255206,AC011853.2,1,0
ENSG00000255211,AC130365.1,1,0
ENSG00000255217,OR5J7P,1,0
ENSG00000255218,OR5BC1P,1,0
ENSG00000255223,OR5M11,1,0
ENSG00000255225,OR8B6P,1,0
ENSG00000255238,RFPL4AP1,1,0
ENSG00000255240,AP001636.3,0.4847257,1
ENSG00000255245,FXYD6-FXYD2,1,0
ENSG00000255247,NECTIN1-AS1,1,0
ENSG00000255248,MIR100HG,0.000284983,1.1
ENSG00000255251,PRR23D1,1,0
ENSG00000255251,PRR23D1,1,0
ENSG00000255255,PPP1R1AP1,1,0
ENSG00000255258,LINC02743,1,0
ENSG00000255259,ZNF123P,1,0
ENSG00000255261,OR7E4P,1,0
ENSG00000255262,ELOBP2,1,0
ENSG00000255266,AP003484.1,1,0
ENSG00000255267,LINC02687,1,0
ENSG00000255269,LINC02710,1,0
ENSG00000255273,AF238378.1,1,0
ENSG00000255274,SMIM35,1,0.4
ENSG00000255281,AC090124.2,1,0
ENSG00000255284,AP006621.3,0.996395036,0
ENSG00000255287,SNRPGP16,1,0
ENSG00000255295,H3P34,1,0.2
ENSG00000255297,OR4A41P,1,0
ENSG00000255298,OR8G5,1,0
ENSG00000255302,EID1,0.707626578,0.1
ENSG00000255303,OR5BA1P,1,0.4
ENSG00000255304,OR4A46P,1,0
ENSG00000255305,AP004607.7,1,0
ENSG00000255307,OR52B2,1,0
ENSG00000255312,OR4C7P,1,0
ENSG00000255314,AC024475.3,1,0.4
ENSG00000255316,MTND6P25,1,0
ENSG00000255317,AP002833.2,0.154625001,1.7
ENSG00000255319,ENPP7P8,1,0.5
ENSG00000255320,AP000759.1,0.474163968,0.5
ENSG00000255323,LINC01495,1,0
ENSG00000255326,AP001922.5,1,1.1
ENSG00000255332,LINC02756,1,0.2
ENSG00000255333,AP000435.1,1,0
ENSG00000255335,LINC02729,1,0
ENSG00000255337,AP001830.1,0.5298689,0.9
ENSG00000255341,OR8Q1P,1,0
ENSG00000255344,LINC02706,1,0
ENSG00000255346,NOX5,1.62e-05,4
ENSG00000255349,OR4A7P,1,0
ENSG00000255350,MTCO1P15,1,0
ENSG00000255352,PPP1R10P1,1,0
ENSG00000255353,AP003057.1,1,-0.3
ENSG00000255357,AC055878.1,1,0
ENSG00000255359,CCDC179,1,0.2
ENSG00000255362,LINC02761,0.363690344,1.4
ENSG00000255367,AC127526.2,1,0
ENSG00000255374,TAS2R43,1,0.2
ENSG00000255374,TAS2R43,1,0.2
ENSG00000255375,AL078612.3,1,1.5
ENSG00000255380,AP001317.1,1,0
ENSG00000255381,AP001258.1,1,0.4
ENSG00000255382,LINC02734,1,0
ENSG00000255385,UBTFL10,1,0
ENSG00000255386,OR5BR1P,1,0
ENSG00000255387,AC015689.1,1,-0.1
ENSG00000255388,LINC02741,1,0
ENSG00000255391,AP003497.1,1,0
ENSG00000255393,OOSP4B,1,0
ENSG00000255398,HCAR3,1,0.4
ENSG00000255399,TBX5-AS1,1.18e-30,9.2
ENSG00000255400,AC124276.2,0.840778164,0.4
ENSG00000255406,LINC02730,1,0
ENSG00000255408,PCDHA3,1,-0.1
ENSG00000255411,LINC02548,1,-0.5
ENSG00000255413,AC022880.1,1,0
ENSG00000255415,AP000867.3,1,0
ENSG00000255416,OR10AF1P,1,0
ENSG00000255417,MTCO2P15,1,0
ENSG00000255420,CASC23,1,0
ENSG00000255423,EBLN2,0.468062019,0.8
ENSG00000255424,MRGPRX9P,1,0
ENSG00000255425,OR8G3P,1,0
ENSG00000255428,AP002008.3,1,0.2
ENSG00000255431,OR5B19P,1,0
ENSG00000255433,LINC02735,1,0.4
ENSG00000255435,AP001267.3,1,0.5
ENSG00000255437,AC023538.1,1,0
ENSG00000255450,AC110056.1,1,0
ENSG00000255454,AC100770.1,1,0
ENSG00000255458,AC108471.3,0.387821979,1.1
ENSG00000255460,ZDHHC20P3,1,0
ENSG00000255461,OR8I1P,1,0
ENSG00000255466,OR5AL2P,1,0
ENSG00000255468,AP001107.9,0.000853248,-1.8
ENSG00000255474,GAU1,1,0.5
ENSG00000255476,AC011092.2,1,-0.1
ENSG00000255481,OR56A7P,1,0
ENSG00000255482,AP001830.2,1,0
ENSG00000255483,AP000889.2,1,0.2
ENSG00000255484,LINC02764,1,0
ENSG00000255490,EIF4A2P5,1,0.2
ENSG00000255491,AC100858.3,0.926116468,0.2
ENSG00000255492,H3P33,1,0
ENSG00000255494,LINC00681,1,0
ENSG00000255500,AC109635.5,1,0
ENSG00000255501,CARD18,1,0
ENSG00000255503,AP001767.3,1,-0.4
ENSG00000255507,UVRAG-DT,0.115858674,2.2
ENSG00000255510,OR8A2P,1,0
ENSG00000255511,AC023078.2,1,0.2
ENSG00000255512,LINC02684,1,0.2
ENSG00000255514,OR4B2P,1,0
ENSG00000255517,AP002748.4,0.110873863,1
ENSG00000255521,AL356215.1,5.01e-05,3.5
ENSG00000255524,NPIPB8,1,-0.4
ENSG00000255526,NEDD8-MDP1,1,0.4
ENSG00000255529,POLR2M,0.148439161,-0.4
ENSG00000255531,NDUFS5P6,1,0
ENSG00000255532,AC118942.1,1,0.2
ENSG00000255534,OR4A43P,1,0
ENSG00000255536,MRGPRX5P,1,0
ENSG00000255537,AP000708.1,1,0.4
ENSG00000255538,OR10V2P,0.982270245,0
ENSG00000255540,AP003122.5,1,0
ENSG00000255542,AC090625.2,0.183999786,1.9
ENSG00000255545,AP004608.1,1,0
ENSG00000255549,ENPP7P6,1,0.4
ENSG00000255553,LINC02733,1,0.4
ENSG00000255554,OR7E1P,1,0.2
ENSG00000255559,ZNF252P-AS1,0.685072887,0.7
ENSG00000255561,FDXACB1,0.250517614,-0.5
ENSG00000255566,AC135279.2,0.92035067,0.2
ENSG00000255568,BRWD1-AS2,0.927261787,0.2
ENSG00000255569,TRAV1-1,1,0
ENSG00000255571,MIR9-3HG,0.049210386,2.6
ENSG00000255582,OR10G2,1,0
ENSG00000255587,RAB44,1,1.4
ENSG00000255595,AC007368.1,1,-0.5
ENSG00000255618,LINC02440,1,0
ENSG00000255622,PCDHB17P,0.013057104,-2.7
ENSG00000255647,AC093510.1,1,0
ENSG00000255649,AC008114.1,1,0
ENSG00000255650,FAM222A-AS1,1,0.1
ENSG00000255652,AC140847.2,1,0
ENSG00000255653,AP002383.1,1,0
ENSG00000255660,RERG-AS1,1,0
ENSG00000255690,TRIL,1,0.6
ENSG00000255693,LINC02389,1,0.4
ENSG00000255713,OR4D2,1,0.2
ENSG00000255717,SNHG1,0.360569384,0.3
ENSG00000255733,IFNG-AS1,1,-0.3
ENSG00000255737,AGAP2-AS1,0.892976633,0.1
ENSG00000255745,AC023796.1,1,0
ENSG00000255746,AC007406.2,1,0
ENSG00000255757,AC087894.1,1,0
ENSG00000255760,LINC02422,1,0.8
ENSG00000255760,LINC02422,1,0.8
ENSG00000255772,LINC01479,1,0.2
ENSG00000255774,LINC02747,1,0
ENSG00000255794,RMST,1,0
ENSG00000255804,OR6J1,1,0.7
ENSG00000255814,LINC02439,1,0
ENSG00000255815,KRT8P11,1,1
ENSG00000255833,TIFAB,1,0
ENSG00000255836,AC131206.1,0.000150075,4
ENSG00000255837,TAS2R20,0.892382808,-0.2
ENSG00000255850,RXYLT1-AS1,1,0
ENSG00000255853,AC006065.1,1,0
ENSG00000255855,KDM4F,1,0
ENSG00000255857,PXN-AS1,0.128337938,-0.9
ENSG00000255860,AP000812.2,1,0
ENSG00000255867,DENND5B-AS1,0.389630716,1.3
ENSG00000255870,AP003170.2,1,0
ENSG00000255874,LINC00346,0.000517552,1.3
ENSG00000255903,RPL12P46,1,0
ENSG00000255916,AC148477.1,1,0
ENSG00000255920,CCND2-AS1,0.455462825,1.2
ENSG00000255923,AC078878.1,1,0
ENSG00000255929,AP000943.2,1,0
ENSG00000255931,AP003108.1,1,0.5
ENSG00000255964,HSPD1P12,0.570251459,-0.9
ENSG00000255970,LINC02421,1,0.8
ENSG00000255974,CYP2A6,0.915461021,0.2
ENSG00000255976,RAB11AP2,1,0
ENSG00000255980,AP000439.2,1,0
ENSG00000255982,NXPE2P1,1,0
ENSG00000255988,TUBB4BP1,1,0
ENSG00000255991,AC121334.1,1,0
ENSG00000255993,PSMC1P9,0.609494899,0.6
ENSG00000255996,AC005906.1,1,0
ENSG00000255998,LINC02824,1,0
ENSG00000256001,AC079949.1,0.043839941,2.3
ENSG00000256019,TAS2R63P,1,0.6
ENSG00000256020,AC006205.2,1,0
ENSG00000256021,ELOCP31,1,-0.3
ENSG00000256022,LINC02411,1,0.2
ENSG00000256025,CACNA1C-AS4,1,0.4
ENSG00000256037,MRPL40P1,1,-0.5
ENSG00000256039,LINC02446,1,0
ENSG00000256040,PAPPA-AS1,1,0
ENSG00000256041,AP001858.2,1,-0.1
ENSG00000256043,CTSO,0.25457961,0.8
ENSG00000256053,COA8,0.917301539,0
ENSG00000256060,TRAPPC2B,0.131526203,0.7
ENSG00000256061,DNAAF4,0.802444425,0.3
ENSG00000256070,AC016956.1,1,0
ENSG00000256073,URB1-AS1,0.256120282,0.7
ENSG00000256075,AC008033.1,1,0.2
ENSG00000256079,AC092451.2,1,0
ENSG00000256087,ZNF432,0.752152471,0.2
ENSG00000256091,MTRF1LP1,1,0
ENSG00000256092,SBNO1-AS1,0.202974989,1
ENSG00000256093,AC122688.1,1,0
ENSG00000256115,LINC02443,1,0
ENSG00000256120,SOX5-AS1,1,0
ENSG00000256124,LINC01152,1,1
ENSG00000256136,AC092865.2,1,0
ENSG00000256138,ZKSCAN7P1,1,0
ENSG00000256162,SMLR1,1,0.7
ENSG00000256166,LINC02571,1,0
ENSG00000256172,LINC02420,1,0
ENSG00000256188,TAS2R30,1,-0.1
ENSG00000256192,AC012158.2,1,0
ENSG00000256193,LINC00507,1,0
ENSG00000256195,AP002518.1,1,0
ENSG00000256197,TSPAN9-IT1,1,0
ENSG00000256223,ZNF10,0.022556241,0.8
ENSG00000256229,ZNF486,6.01e-05,1.3
ENSG00000256232,LINC02387,1,0.4
ENSG00000256235,SMIM3,0.414648201,0.5
ENSG00000256238,SUPT16HP1,0.300745101,-0.6
ENSG00000256243,RPL7AP3,1,0
ENSG00000256254,AP000619.3,1,0.2
ENSG00000256259,LINC02425,1,0
ENSG00000256269,HMBS,0.182567378,-0.4
ENSG00000256271,CACNA1C-AS2,1,0.7
ENSG00000256274,TAS2R64P,1,1
ENSG00000256285,OSBPL9P5,1,0
ENSG00000256286,AC078878.2,1,0
ENSG00000256287,LINC02398,1,0
ENSG00000256288,LINC02617,1,0.2
ENSG00000256294,AC021092.2,0.905469666,-0.1
ENSG00000256315,AP000462.2,1,0
ENSG00000256331,NIFKP3,1,0
ENSG00000256338,RPL41P2,0.605699985,-0.6
ENSG00000256355,NTAN1P3,1,0.2
ENSG00000256358,RPL31P57,1,0
ENSG00000256362,LINC02375,1,0
ENSG00000256389,AC048352.1,1,0
ENSG00000256394,ASIC5,1,0.5
ENSG00000256399,AC079866.1,1,-0.4
ENSG00000256422,LINC02552,1,0.2
ENSG00000256436,TAS2R31,0.937600922,0.2
ENSG00000256441,AP001888.1,1,0
ENSG00000256442,AC010186.1,1,0.2
ENSG00000256453,DND1,1,0
ENSG00000256463,SALL3,1,-0.1
ENSG00000256474,TRAV11,1,0
ENSG00000256480,AC018653.2,1,0
ENSG00000256496,AC073913.1,1,0
ENSG00000256508,MRGPRF-AS1,0.745378984,0.5
ENSG00000256525,POLG2,0.064874002,-0.7
ENSG00000256533,AP002373.2,1,0.2
ENSG00000256537,SMIM10L1,0.068702886,0.6
ENSG00000256546,AC156455.1,0.742380091,0.5
ENSG00000256551,LINC02369,1,0
ENSG00000256553,TRAV1-2,1,0
ENSG00000256560,LINC01486,1,0
ENSG00000256563,NANOGNBP2,1,0
ENSG00000256574,OR13A1,1,-1
ENSG00000256576,LINC02361,0.053172316,2.6
ENSG00000256577,AC007406.4,1,0.2
ENSG00000256590,TRDV3,1,0.2
ENSG00000256597,LINC02393,0.010612203,3.3
ENSG00000256614,AK6P1,1,0
ENSG00000256616,AP002414.2,0.076356906,1.5
ENSG00000256625,AC092747.2,0.493297802,1.1
ENSG00000256626,AC024224.1,1,0.4
ENSG00000256628,ZBTB11-AS1,0.875310376,0.1
ENSG00000256642,LINC00273,1,0
ENSG00000256643,LINC02441,1,0.4
ENSG00000256651,AC006518.1,1,0.8
ENSG00000256657,AC244131.1,1,0
ENSG00000256659,LINC02368,1,0
ENSG00000256660,CLEC12B,1,0.6
ENSG00000256670,AC078962.5,1,0.2
ENSG00000256671,LIMS4,1,0
ENSG00000256674,AC020549.2,1,0
ENSG00000256682,AC006518.2,1,1.3
ENSG00000256683,ZNF350,0.018259381,0.8
ENSG00000256684,LINC02737,1,0
ENSG00000256690,AP001160.1,0.897674454,-0.2
ENSG00000256699,TMEM132D-AS2,1,0
ENSG00000256713,PGA5,0.114478767,2.2
ENSG00000256723,AP003717.3,1,0
ENSG00000256732,AC006065.4,1,-0.3
ENSG00000256733,AP003721.2,1,0
ENSG00000256746,MADD-AS1,1,0.7
ENSG00000256750,LINC02423,1,0
ENSG00000256751,PLBD1-AS1,1,0.4
ENSG00000256752,HPRT1P3,1,0
ENSG00000256762,STH,1,-0.3
ENSG00000256771,ZNF253,0.717355902,0.2
ENSG00000256777,PDCL3P7,1,0
ENSG00000256797,KLRF2,1,0
ENSG00000256802,AC022613.1,0.052205313,2.6
ENSG00000256803,AC024224.2,1,0
ENSG00000256806,C17orf100,0.745152556,0.4
ENSG00000256812,CAPNS2,0.428749239,1.2
ENSG00000256813,AP000777.3,1,0
ENSG00000256849,TCP1P3,0.247720776,1.4
ENSG00000256862,AC005842.1,0.093499335,2.3
ENSG00000256870,SLC5A8,1,0
ENSG00000256884,AC084880.4,1,0.2
ENSG00000256888,LINC02366,1,0
ENSG00000256896,PSMC1P8,1,0
ENSG00000256912,GCNAP1,1,0.2
ENSG00000256940,PPP1R14B-AS1,0.585739295,0.6
ENSG00000256944,AP003721.3,1,0
ENSG00000256948,AC026369.3,1,0
ENSG00000256977,LIMS3,1,0.2
ENSG00000256980,KHDC1L,1,0.2
ENSG00000256981,AC134349.2,1,-0.7
ENSG00000256995,AC084816.1,1,0.6
ENSG00000257002,AP000438.1,1,0
ENSG00000257008,GPR142,1,0
ENSG00000257016,SLC25A39P2,1,0
ENSG00000257017,HP,1,0
ENSG00000257035,AC025252.3,1,0
ENSG00000257038,AP002761.3,0.057015159,1.9
ENSG00000257046,SLCO1B3-SLCO1B7,1,0
ENSG00000257056,LINC02282,0.294631624,1.3
ENSG00000257057,C11orf97,1,0.2
ENSG00000257069,AP001453.3,1,0.2
ENSG00000257075,RPEP6,1,0.4
ENSG00000257083,AC073530.1,1,0
ENSG00000257084,MIR200CHG,1,0.2
ENSG00000257093,DENND11,0.005187553,-1
ENSG00000257101,LRRC37A13P,1,0.2
ENSG00000257103,LSM14A,1.27e-05,-0.9
ENSG00000257108,NHLRC4,0.684345388,0.7
ENSG00000257109,OR4F28P,1,0
ENSG00000257114,LINC02450,1,0
ENSG00000257115,OR11H12,1,0
ENSG00000257121,AC126615.2,1,0
ENSG00000257127,CLLU1,1,0
ENSG00000257128,AC006197.1,1,0
ENSG00000257138,TAS2R38,1,0
ENSG00000257164,LINC02451,1,0.2
ENSG00000257167,TMPO-AS1,0.87082368,0.1
ENSG00000257173,AK6P2,1,0
ENSG00000257176,AC009318.1,0.830700334,0.2
ENSG00000257185,LINC02293,1,0
ENSG00000257218,GATC,0.143064045,-0.4
ENSG00000257219,LNCOG,1.75e-10,3.9
ENSG00000257220,PRXL2AP1,1,-0.3
ENSG00000257242,LINC01619,0.796299631,0.4
ENSG00000257243,AC020612.1,0.823998691,0.4
ENSG00000257259,LINC02388,1,0.2
ENSG00000257279,AC127164.1,0.635796495,-0.7
ENSG00000257281,AC009729.1,1,0.4
ENSG00000257283,AC012464.1,0.794144134,-0.5
ENSG00000257285,AL132780.1,0.875310376,0.2
ENSG00000257300,HAUS8P1,1,0
ENSG00000257307,AL162311.2,1,-0.4
ENSG00000257308,AC090017.1,1,0.2
ENSG00000257315,ZBED6,0.387586107,0.7
ENSG00000257316,AC087311.1,1,0
ENSG00000257319,AC008127.1,1,0
ENSG00000257335,MGAM,0.000412174,4.1
ENSG00000257337,AC068888.1,0.000222751,1.8
ENSG00000257354,AC048341.1,0.287015016,-0.6
ENSG00000257356,BNIP3P6,1,0
ENSG00000257365,FNTB,0.525513336,-0.2
ENSG00000257365,FNTB,0.525513336,-0.2
ENSG00000257368,AC063924.1,1,0
ENSG00000257381,MIR3179-2,1,0
ENSG00000257392,AC126177.2,1,0
ENSG00000257446,ZNF878,0.040957676,2.2
ENSG00000257453,AC011611.3,1,0.1
ENSG00000257467,PPFIA2-AS1,0.412537718,-1.3
ENSG00000257476,LINC02459,1,0
ENSG00000257480,MRPL2P1,1,0
ENSG00000257495,KRT73-AS1,1,0
ENSG00000257504,LINC02297,1,0
ENSG00000257506,AC133555.1,1,0
ENSG00000257510,LINC02402,1,0
ENSG00000257511,AC084824.2,0.738431415,-0.2
ENSG00000257514,AC117505.1,1,0.6
ENSG00000257520,AL132857.1,1,0
ENSG00000257522,AL133166.1,0.081566043,2
ENSG00000257526,AC107032.2,0.511381192,0.9
ENSG00000257528,KRT8P19,1,0
ENSG00000257529,RPL36A-HNRNPH2,1,0.1
ENSG00000257530,AC048344.1,1,0
ENSG00000257541,LINC02403,1,0
ENSG00000257545,AC079385.1,1,-0.3
ENSG00000257550,AC023509.2,1,0
ENSG00000257551,HLX-AS1,0.159511728,1.8
ENSG00000257568,AC079035.1,1,0.2
ENSG00000257572,AC008127.2,1,0
ENSG00000257582,LINC01475,1,0.2
ENSG00000257585,LINC00609,1,0
ENSG00000257586,AC018448.2,1,0
ENSG00000257588,AC025154.2,1,0.2
ENSG00000257591,ZNF625,0.829824187,0.3
ENSG00000257594,GALNT4,0.172543531,1.4
ENSG00000257595,LINC02356,1,-0.1
ENSG00000257596,SCAT2,0.76364817,-0.4
ENSG00000257599,OVCH1-AS1,0.974758578,0.1
ENSG00000257609,AC091515.1,1,0
ENSG00000257612,MIR4307HG,1,0
ENSG00000257616,AC055716.2,1,0.2
ENSG00000257621,PSMA3-AS1,0.468282992,0.2
ENSG00000257629,AC006199.1,1,0
ENSG00000257636,G2E3-AS1,1,0
ENSG00000257639,AC005632.2,1,0
ENSG00000257642,AC011313.1,0.363583857,0.9
ENSG00000257660,ADCY6-DT,1,-0.6
ENSG00000257662,EIF4A1P12,1,0
ENSG00000257671,KRT7-AS,1,-0.1
ENSG00000257675,BTBD10P1,1,0.4
ENSG00000257677,LINC02464,1,0.2
ENSG00000257696,AC010203.2,1,-0.3
ENSG00000257698,GIHCG,0.806194298,0.1
ENSG00000257702,LBX2-AS1,9.55e-06,1.8
ENSG00000257704,INAFM1,0.161585571,-0.6
ENSG00000257711,AC079385.2,1,-0.3
ENSG00000257718,CPNE8-AS1,1,1
ENSG00000257725,LINC02399,1,0
ENSG00000257727,CNPY2,0.79035296,0.1
ENSG00000257731,CR383656.8,1,0
ENSG00000257732,AC089983.1,0.21607374,1
ENSG00000257738,AC009248.1,1,0
ENSG00000257741,LINC01490,1,-0.4
ENSG00000257743,MGAM2,1,1.2
ENSG00000257746,AC138123.2,1,0
ENSG00000257747,LINC02426,1,0
ENSG00000257748,LINC02281,1,1
ENSG00000257751,AL512310.6,1,0
ENSG00000257752,AC091516.1,1,0.1
ENSG00000257756,LINC02386,1,0
ENSG00000257757,OR6C7P,1,0
ENSG00000257758,KRT18P20,1,0.2
ENSG00000257761,AC078860.2,1,0.4
ENSG00000257762,LINC02401,1,0
ENSG00000257771,LINC02395,1,0
ENSG00000257779,AC078814.3,1,0
ENSG00000257784,LINC02400,1,0
ENSG00000257786,AKIRIN1P1,1,0
ENSG00000257787,AC112481.1,1,0
ENSG00000257790,EIF4A1P4,0.919817936,-0.2
ENSG00000257792,OR5BJ1P,1,0
ENSG00000257807,AC003686.1,1,0
ENSG00000257809,AC034102.5,1,-0.2
ENSG00000257813,AC090525.2,1,0
ENSG00000257815,CNOT2-DT,0.1792845,1.1
ENSG00000257817,AC026765.3,0.830047231,0.3
ENSG00000257842,LINC02588,1,0.2
ENSG00000257845,LINC02294,1,0
ENSG00000257846,AL512310.7,1,0.2
ENSG00000257851,HNRNPA3P10,0.582950414,-0.7
ENSG00000257855,AC126471.1,1,0
ENSG00000257858,MTND1P24,1,0
ENSG00000257859,CASC18,1,1.4
ENSG00000257860,AC068643.2,1,0
ENSG00000257864,AC025030.1,1,1.8
ENSG00000257872,AC233290.1,1,0
ENSG00000257883,AC125603.2,1,0
ENSG00000257893,LINC02404,0.676530079,-0.7
ENSG00000257907,EEF1A1P17,0.56505217,-0.9
ENSG00000257913,DDN-AS1,0.532701315,0.6
ENSG00000257923,CUX1,0.996502194,0
ENSG00000257927,MRPS36P5,1,0
ENSG00000257949,TEN1,1,0
ENSG00000257950,P2RX5-TAX1BP3,0.567627325,0.6
ENSG00000257957,QRSL1P3,1,1
ENSG00000257979,SNRPGP18,1,0
ENSG00000257987,TEX49,1,0
ENSG00000258001,AC126614.1,1,1.3
ENSG00000258013,RPL3P13,1,0
ENSG00000258021,AC025259.2,0.385885858,1.1
ENSG00000258024,OR5BT1P,1,0
ENSG00000258028,AL135878.1,1,0
ENSG00000258035,AC123567.2,1,0
ENSG00000258038,LINC02327,1,0
ENSG00000258039,AC117377.1,1,0
ENSG00000258056,AC009779.3,0.026339423,0.8
ENSG00000258057,BCDIN3D-AS1,0.781737895,0.3
